BALAJITELE,20161104,89.6,89.6,86.6,87.25,81034,0
BALAMINES,20161104,357,363.8,345,351.15,62207,0
BALKRISHNA,20161104,100.5,101,92.8,93.9,89238,0
BALKRISIND,20161104,1041.5,1055,986.05,990.6,47497,0
BALLARPUR,20161104,17.05,17.35,16.3,16.8,1653885,0
BALMLAWRIE,20161104,775,783.9,750,762.75,41516,0
BALPHARMA,20161104,107.05,108.5,100.7,104,66723,0
BALRAMCHIN,20161104,108.2,110.65,103.9,104.6,673093,0
BANARBEADS,20161104,46.25,46.25,42.3,43.55,5398,0
BANARISUG,20161104,1922.4,1922.4,1890,1899.2,683,0
BANCOINDIA,20161104,214.6,215.6,198.4,204.85,84554,0
BANG,20161104,24.75,24.75,23.8,24.7,1636,0
BANKBARODA,20161104,149.15,149.15,141.3,142.55,9329011,0
BANKBEES,20161104,1940,1941.4,1920,1925.19,1885,0
BANKINDIA,20161104,109.75,109.75,105.7,106.25,2632923,0
BANSWRAS,20161104,153.9,153.9,148,152.25,23291,0
BARTRONICS,20161104,14.65,15.45,14,14.35,217343,0
BASF,20161104,1235,1245.6,1175.6,1223.4,20814,0
BASML,20161104,300.75,315.5,293.7,293.7,2292,0
BATAINDIA,20161104,459.35,469.4,448.8,455.6,553656,0
BAYERCROP,20161104,4072,4149,4025,4053.5,14507,0
BBL,20161104,861.05,870,835,839.25,22833,0
BBTC,20161104,586.7,595,548.15,564.65,137889,0
BEARDSELL,20161104,595,595,568.1,577.25,2187,0
BEDMUTHA,20161104,26.5,26.95,24.35,25.1,35447,0
BEL,20161104,1312.9,1318.6,1286.2,1299.85,332139,0
BEML,20161104,888.9,894.95,868,877.45,251518,0
BEPL,20161104,25.95,26,23.2,24.05,1621771,0
BERGEPAINT,20161104,261.5,270.5,255,259.75,1394742,0
BFINVEST,20161104,154,154.8,142,143.8,40870,0
BFUTILITIE,20161104,526.9,529,504.25,508,187942,0
BGLOBAL,20161104,7.6,7.6,7.6,7.6,20657,0
BGRENERGY,20161104,117.9,117.9,111.3,113.65,172478,0
BHAGERIA,20161104,382.5,395,361.3,371.7,99286,0
BHAGYNAGAR,20161104,19.05,21,18.6,18.65,32877,0
BHARATFIN,20161104,832.85,832.85,783.6,797.85,1304449,0
BHARATFORG,20161104,845,852.2,826.5,833.95,545272,0
BHARATGEAR,20161104,125.95,129.1,116.2,120.3,69672,0
BHARATIDIL,20161104,18,18,17,17.3,32647,0
BHARATRAS,20161104,1864.45,1900,1760,1807.95,2425,0
BHARATWIRE,20161104,53,53,50,51.35,78707,0
BHARTIARTL,20161104,309.75,310.55,304.05,306.7,2141519,0
BHEL,20161104,138.35,138.9,133.65,134.7,5276644,0
BHUSANSTL,20161104,44.35,45.15,42.5,43.2,269624,0
BIGBLOC,20161104,53,53,50.1,50.1,389,0
BIL,20161104,611.15,611.15,570.05,575.05,14516,0
BILENERGY,20161104,0.95,0.95,0.95,0.95,100,0
BINANIIND,20161104,98.85,98.85,88.4,90.15,81426,0
BINDALAGRO,20161104,30.85,31.35,29.65,30.2,267966,0
BIOCON,20161104,922.2,923.5,871,878.05,1907092,0
BIRLACABLE,20161104,42,44.8,41,41.3,17695,0
BIRLACORPN,20161104,781,783,735,768.1,67047,0
BIRLACOT,20161104,0.1,0.1,0.05,0.1,1902702,0
BIRLAMONEY,20161104,26.75,26.85,25.65,25.85,24369,0
BLBLIMITED,20161104,6.2,6.35,5.9,5.95,8919,0
BLISSGVS,20161104,160,161.9,147.1,149.25,334686,0
BLKASHYAP,20161104,25.8,25.8,23.2,24.75,342106,0
BLS,20161104,1840,1845,1800,1803.65,2284,0
BLUEBLENDS,20161104,61.5,62.5,55.4,56.15,32081,0
BLUEDART,20161104,5061,5175,5052,5097.2,3314,0
BLUESTARCO,20161104,550.05,554.65,523.05,537.9,61549,0
BODALCHEM,20161104,138.5,139.2,130.1,134.5,573708,0
BOMDYEING,20161104,56.25,56.6,52.9,54.4,1280242,0
BOSCHLTD,20161104,21500,21750,20921.7,21511,12202,0
BPCL,20161104,643,649.4,632,643.5,1885359,0
BPL,20161104,79.1,82.35,74.6,75.55,960507,0
BRFL,20161104,158.85,158.85,151.9,152,1666,0
BRIGADE,20161104,177.05,180,177.05,179.3,18785,0
BRITANNIA,20161104,3300,3380,3222,3302,227573,0
BROOKS,20161104,177.25,178.5,160.35,163.85,441545,0
BSELINFRA,20161104,5.15,5.3,4.7,4.7,171960,0
BSL,20161104,82.5,84.4,76.05,78.85,46055,0
BSLGOLDETF,20161104,2927.95,2949,2872.05,2909,28,0
BSLIMITED,20161104,5.2,5.25,5,5,2760985,0
BSLNIFTY,20161104,90.5,93,86.5,86.5,1652,0
BURNPUR,20161104,15.4,15.9,14.7,14.75,745957,0
BUTTERFLY,20161104,246.7,247,224,233,31763,0
BVCL,20161104,29,29,27.9,27.9,8744,0
BYKE,20161104,185.05,189.65,182.25,182.95,84822,0
CADILAHC,20161104,396,399.75,376.25,390,1637920,0
CAIRN,20161104,240.65,243.35,230.9,237.5,3906224,0
CALSOFT,20161104,6.15,6.15,6.15,6.15,1427,0
CAMLINFINE,20161104,108.7,111.7,103.35,108.45,828201,0
